tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
Family and Friends of flight #4U9525 will be in my prayers. May God take care.,0.615,0.154,0.231,0.4361692307692308,0.91,-0.5423,0.4404,0.10491101905325442,0.267,0.668,0.065,13,non-rumours
Here's a recap of the key points so far in the #GermanWings Alps plane crash. Live updates: http://t.co/8UPMsinQkX http://t.co/hNjZvcruqq,0.000,0.250,0.750,0.56315,0.0,-0.7712,0.7407,0.10611632750000001,0.000,0.433,0.567,4,non-rumours
Germanwings has darkened its logo on Twitter after crash in French alps - Latest: http://t.co/DztGD0IPZV http://t.co/xc5GZn8l8r,0.000,0.500,0.500,0.3454,0.0,-0.6908,0.3454,0.11930115999999999,0.000,0.840,0.160,2,non-rumours
BREAKING #GermanWings Here is a photo from helicopter of the crash area /France2 journalists http://t.co/wFg8KTSve2 http://t.co/RnC5gT5w40,0.083,0.500,0.417,0.2265,0.296,-0.743,0.044,0.07690522499999998,0.046,0.811,0.143,12,non-rumours
#Germanwings crash: Arrivals board at #Dusseldorf airport http://t.co/zU6hn03xzU http://t.co/MOQt2LDido,0.286,0.429,0.286,0.3387428571428572,0.9078,-0.4767,0.4588,0.1053275024489796,0.113,0.781,0.106,7,non-rumours
.@germanwings have darkened their logo on Twitter following the crash of one of their planes in the French Alps http://t.co/9qIAn60uob,0.444,0.333,0.222,0.3119444444444444,0.4404,-0.7906,0.3182,0.0709802913580247,0.133,0.692,0.175,9,non-rumours
It will be a dark day for us if #Germanwings plane crash confirmed says Lufthansa http://t.co/zoav2Dq617,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
PHOTO: Arrivals board in Dusseldorf Airport shows information for Germanwings plane that crashed in French Alps http://t.co/dymPQUJEHx,0.000,0.000,1.000,0.58005,-0.5697,-0.5904,0.58005,0.00010712250000000053,0.000,0.510,0.490,2,non-rumours
Our thoughts are with the passengers and crew of flight 4U-9525 and all relatives and colleagues #unitedbywings @germanwings @lufthansa,0.500,0.500,0.000,0.20095,0.4019,0.0,0.20095,0.040380902499999996,0.287,0.713,0.000,2,non-rumours
This picture from a helicopter sent to the #Germanwings Alps plane crash site shows how remote the area is http://t.co/Fo6h66ZehE,0.000,0.692,0.308,0.09426153846153847,0.0,-0.5696,0.0,0.0318498100591716,0.030,0.889,0.082,13,non-rumours
Here's what we know so far about the #Germanwings flight that crashed in the French Alps http://t.co/3cruv6QIyv http://t.co/7QmHuwhkRi,0.400,0.200,0.400,0.51593,0.7184,-0.8591,0.60955,0.09090713809999999,0.187,0.587,0.227,10,non-rumours
Our thoughts &amp; prayers are with the families and friends of @Germanwings #4U9525 passengers &amp; crew.,0.000,0.500,0.500,0.3109,0.0,-0.6218,0.3109,0.09665881000000001,0.000,0.748,0.253,2,non-rumours
BREAKING: @lufthansa and @germanwings @Lufthansa_DE have changed their logos to blac as a mark of respect  http://t.co/AnST3O0yXm -  FlightC,1.000,0.000,0.000,0.40643333333333337,0.8689,0.0772,0.2732,0.11334037555555555,0.437,0.563,0.000,3,non-rumours
Germanwings has posted the following updated statement via Twitter: http://t.co/q1I8tkghmf http://t.co/odiENY7FDw,1.000,0.000,0.000,0.1156,0.1156,0.1156,0.1156,0.0,0.331,0.426,0.243,1,non-rumours
WATCH LIVE: France 24 coverage of Germanwings plane crash - http://t.co/MeN3sT6IwX http://t.co/e9RxyC7w6m,0.200,0.000,0.800,0.5051,0.1952,-0.9274,0.4767,0.064140376,0.104,0.599,0.297,5,non-rumours
Lufthansa and Germanwings have established a telephone hotline. The toll-free 0800 11 33 55 77 number is available to all the families 3/5,0.000,0.000,1.000,0.657,-0.5423,-0.7717,0.657,0.013156090000000006,0.000,0.599,0.401,2,non-rumours
of the passengers involved for care and assistance. Everyone at Germanwings and Lufthansa is deeply shocked and saddened by these events.4/5,0.000,0.000,1.000,0.8896,-0.8896,-0.8896,0.8896,0.0,0.000,0.587,0.413,1,non-rumours
"BREAKING Emergency units staging in Seyne-les-Alpes, near #4U9525 crash site /@Aviaponcho http://t.co/wFg8KTSve2 http://t.co/NaHq3MIOlz",0.000,0.333,0.667,0.31816666666666665,0.0,-0.6486,0.39185,0.057973255555555554,0.008,0.836,0.156,6,non-rumours
Family members of victims of @germanwings crash arrive at Barcelona's El Prat airport http://t.co/wf2xONhzNQ http://t.co/CBDPm6JiHv,0.235,0.294,0.471,0.3699176470588235,0.9017,-0.836,0.2621,0.09758155910034602,0.118,0.696,0.187,17,non-rumours
Lufthansa and Germanwings have established a telephone hotline. The toll-free 00800 11 33 55 77 number is available to all the families...,1.000,0.000,0.000,0.5106,0.5106,0.5106,0.5106,0.0,0.248,0.752,0.000,1,non-rumours
Weather deteriorating for #GermanWings #4U9525 search &amp; rescue operation with snow above 1500m in S French Alps. CF http://t.co/Uf8e1M0otE,0.000,0.250,0.750,0.35512499999999997,0.0,-0.6808,0.36985,0.05948676687499999,0.060,0.706,0.234,4,non-rumours
"Helicopters are bringing bodies to a school gymnasium near site of #Germanwings A320 crash. http://t.co/4RUSYV7IUc
https://t.co/fQWAbR5Ea4",0.000,0.417,0.583,0.30248749999999996,0.0276,-0.9216,0.352,0.08996286859375001,0.036,0.703,0.261,24,non-rumours
"Not yet clear if any UK nationals in #Germanwings crash; thoughts with relatives, Downing Street says http://t.co/slDKtp3mMK",0.182,0.318,0.500,0.26419545454545457,0.6486,-0.813,0.1817,0.06525040770661159,0.100,0.773,0.128,22,non-rumours
The Twitter accounts @lufthansa and @germanwings have turned their logos black. http://t.co/cEEj2mHVPG,0.333,0.000,0.667,0.31303333333333333,0.4215,-0.4404,0.4215,0.027868215555555558,0.194,0.595,0.211,3,non-rumours
"#Germanwings change their logo to grey and white as a sign of mourning #4U9525
http://t.co/NK5U1GpHxL http://t.co/fZrvGy5p7w",0.250,0.125,0.625,0.5731125,0.6901,-0.743,0.6952,0.055699443593750016,0.148,0.666,0.186,8,non-rumours
LIVE A French AirForce C-135 still over the area of #Germanwings Crash. http://t.co/wFg8KTSve2 http://t.co/JKMsJ8wL7P,1.000,0.000,0.000,0.4404,0.4404,0.4404,0.4404,0.0,0.367,0.633,0.000,1,non-rumours
UPDATE #Germanwings CRASH Here is the 3D flight path from FlightAware http://t.co/wFg8KTSve2 http://t.co/D4eu3XlDy2,0.125,0.250,0.625,0.45577500000000004,0.2732,-0.8016,0.5043,0.098338204375,0.023,0.714,0.263,8,non-rumours
#Germanwings Airbus is first crash of airliner on French soil since Concorde disaster: http://t.co/kE109W7CFT http://t.co/lKpUNUQNsu,0.296,0.185,0.519,0.4844592592592593,0.8591,-0.9305,0.5719,0.10870450167352537,0.113,0.705,0.182,27,non-rumours
My deepest condolences to the families of the victims of the flight that crashed in France this morning. http://t.co/4TixfKkRhJ #germanwings,0.200,0.200,0.600,0.31756,0.3818,-0.5696,0.3182,0.0336992224,0.111,0.722,0.167,5,non-rumours
Rescue teams near #4U9525 crash site http://t.co/zU6hn03xzU (pics via @ActuSecours) #Germanwings http://t.co/IDeO1SpaM4,0.667,0.000,0.333,0.3680333333333334,0.5106,-0.4404,0.4404,0.023919508888888896,0.187,0.648,0.165,3,non-rumours
"My thoughts, prayers, and deepest condolences go out to the passengers and families of flight #4U9525 http://t.co/piNxBaQc5F",1.000,0.000,0.000,0.6037,0.8519,0.4215,0.5707,0.024244520000000006,0.590,0.410,0.000,4,non-rumours
"#4U9525 was following the same flight path as yesterday
Yesterday http://t.co/59MOETk0Gd
Today http://t.co/21vkfBS38D http://t.co/BynF6vlVE0",0.176,0.471,0.353,0.2033705882352941,0.4926,-0.9186,0.0772,0.06291570442906572,0.070,0.848,0.081,17,non-rumours
My thoughts are with the friends and family of the passengers of Germanwings flight 4U9525.,0.000,0.400,0.600,0.39191,0.0,-0.8544,0.5267999999999999,0.1102212189,0.018,0.671,0.311,10,non-rumours
"German chancellor Angela Merkel ""deeply shaken"" by #Germanwings crash, spokesperson says http://t.co/rpzUdmE3s0",0.250,0.417,0.333,0.28763333333333335,0.7269,-0.7212,0.2563,0.0838044722222222,0.076,0.807,0.116,12,non-rumours
BREAKING -4C on the #Germanwings crash site. Snow and wind expected in few mins. http://t.co/wFg8KTSve2 http://t.co/nm3JRSZ5da,0.250,0.000,0.750,0.40207499999999996,0.6369,-0.4019,0.4019,0.027530341875,0.162,0.718,0.120,4,non-rumours
"Update: Latest Images of the rescue operation of #4U9525. 
(Pic via: Cédric C./ActuSecours)  http://t.co/ezktB3SXaA - @PollyR_Aviation",0.500,0.500,0.000,0.262625,0.5399,0.0,0.2553,0.06907920187500002,0.141,0.859,0.000,4,non-rumours
Follow our LIVE coverage of the #Germanwings flight 4U 9525 crash in France: http://t.co/QDmrXB1v6I http://t.co/pgwTvW4fzb,0.500,0.125,0.375,0.4747125,0.9501,-0.5423,0.5095000000000001,0.09264308859374998,0.284,0.558,0.157,8,non-rumours
French Air Force Boeing C-135FR Stratotanker flying over #4U9525 crash site http://t.co/Hv3kJZ28a9 http://t.co/EQl9ysUiXN,0.300,0.450,0.250,0.2326,0.7506,-0.765,0.21315,0.06417765100000002,0.103,0.792,0.104,20,non-rumours
"What we know about low-cost airline Germanwings whose plane crashed in the French Alps today
http://t.co/dpVjeGkEGT http://t.co/0HkXddItLs",0.400,0.000,0.600,0.46299999999999997,0.4404,-0.6666,0.4404,0.013170735999999999,0.127,0.651,0.222,5,non-rumours
Helicopters and emergency vehicles are arriving in southern France. #Germanwings http://t.co/2Ry7Itpo4L,0.000,0.667,0.333,0.09106666666666667,0.0,-0.2732,0.0,0.016586275555555554,0.000,0.885,0.115,3,non-rumours
#Germanwings to hold press conference at 10a ET with the latest details on the plane crash. http://t.co/wBsvfOhd3Z http://t.co/CbPBXwhT1z,0.533,0.200,0.267,0.48836666666666667,0.9371,-0.891,0.5256,0.10523910888888889,0.184,0.707,0.110,15,non-rumours
All 150 people on a #Germanwings plane which crashed in the Alps are thought to have died http://t.co/8UPMsinQkX http://t.co/RoM2b1e6zA,0.143,0.429,0.429,0.16402857142857144,0.0772,-0.4588,0.0772,0.0312134306122449,0.087,0.734,0.179,7,non-rumours
150 feared dead in #Germanwings Airbus crash. LIVE coverage: http://t.co/Jk9jZjl7Tp http://t.co/YgcKHyNToQ,0.500,0.250,0.250,0.43394999999999995,0.7424,-0.5719,0.4967,0.07565980249999998,0.353,0.610,0.037,4,non-rumours
Today's flight path of #4U9525 is exactly matching yesterday's flight path until the moment when signal was lost http://t.co/eC62SfY9Ga,0.150,0.400,0.450,0.261245,0.6988,-0.6553,0.26115,0.061847609474999996,0.037,0.785,0.179,20,non-rumours
Last known position of Germanwings flight: http://t.co/m9ZF6fy8yk http://t.co/wc8gKPxUAc,0.167,0.333,0.500,0.3753333333333333,0.1471,-0.8779,0.3369,0.11915485555555555,0.019,0.775,0.206,6,non-rumours
"Germanwings Airbus A320 climbed to 38,000 feet before starting to descend and lose signal http://t.co/4xRU5mICvz",0.000,0.600,0.400,0.13314,0.0,-0.6157,0.0,0.058591038399999996,0.034,0.866,0.100,5,non-rumours
Crash of the Germanwings flight is extremely unfortunate. We share the sorrow &amp; pain of the families of those on board.,0.423,0.231,0.346,0.42598846153846154,0.8957,-0.8225,0.5189999999999999,0.08454528871301772,0.117,0.679,0.203,26,non-rumours
"Germanwings flight that crashed in French Alps had 144 passengers and 6 crew on board, airline's CEO says. http://t.co/EOKW9FoIJ4 #A320",0.333,0.444,0.222,0.3233,0.8313,-0.5256,0.3182,0.10327950888888887,0.123,0.735,0.141,9,non-rumours
Photos show emergency services in French Alps after #Germanwings crash  http://t.co/teojxJoBMX http://t.co/EAVYroXyz0,0.217,0.261,0.522,0.3830043478260869,0.6784,-0.8395,0.4019,0.09081276476370513,0.096,0.743,0.160,23,non-rumours
"What we know so far about #GermanWings #AirbusA320 crash with BBC's @christianfraser
https://t.co/ZROmvZn8Ko",0.214,0.214,0.571,0.44982142857142854,0.5859,-0.874,0.483,0.08292738025510205,0.097,0.730,0.173,14,non-rumours
"Rescue workers gather in Seyne, south-eastern France, near the site where a Germanwings Airbus A320 crashed. http://t.co/e0qFNMS8PW",0.188,0.188,0.625,0.34701875000000004,0.5106,-0.7783,0.3902,0.0568476502734375,0.059,0.663,0.278,16,non-rumours
We're shocked and devastated. Our deepest sympathy goes out to the families of all the victims. Our thoughts are with you all. #4U9525,0.167,0.500,0.333,0.25448333333333334,0.5994,-0.5256,0.20095,0.06808145472222223,0.103,0.785,0.112,6,non-rumours
Our thoughts are with all the passengers and crew members on board @Germanwings flight #4U9525 and their loved ones.,0.400,0.400,0.200,0.28715999999999997,0.4173,-0.7003,0.3182,0.0707012584,0.087,0.814,0.099,5,non-rumours
"UNCONFIRMED: this image, reportedly from local newspaper le Dauphine, also circulating. #4U9525 http://t.co/zUekdRYRPm",0.111,0.444,0.444,0.27125,0.3612,-0.7717,0.32445,0.07006287805555557,0.021,0.862,0.118,18,non-rumours
"PHOTO: Another image of crash site from #4U9525. (Pic via @laprovence) 
 http://t.co/K4O8fxQqzn - @PollyR_Aviation",0.000,0.182,0.818,0.35120909090909086,0.0,-0.5267,0.4019,0.03272021719008264,0.000,0.692,0.308,11,non-rumours
"Nightmare! My thoughts go out to the victims, their family and friends.🙏 #RIP #4U9525 #MH370 #MH17 #GE235 #QZ8501 #AH5017 #TooManyCrashes",0.250,0.750,0.000,0.1101,0.4404,0.0,0.0,0.03636603,0.075,0.888,0.037,4,non-rumours
"If one pilot leaves, somebody else is supposed to go in so there are always 2 people - @richardquest on #Germanwings http://t.co/kckkBkqjVh",0.190,0.333,0.476,0.3945476190476191,0.3939,-0.9403,0.34,0.12881917106575966,0.069,0.697,0.234,21,non-rumours
The reasons why they haven't yet released the names of the pilots of the Germanwings plane suddenly seem so clear.,0.320,0.280,0.400,0.24793600000000002,0.8202,-0.836,0.1779,0.06776170470400002,0.150,0.699,0.152,25,non-rumours
Tony Abbott seeks advice about cockpit rules in wake of Germanwings crash http://t.co/UAGCk9kt65,0.600,0.200,0.200,0.35444000000000003,0.6447,-0.4215,0.4215,0.06979129840000001,0.181,0.731,0.088,5,non-rumours
Germanwings crash: 3 different scenarios to unlock and lock the cockpit door http://t.co/WZpdG4wFY1 http://t.co/Bka6z48jHW,0.174,0.522,0.304,0.26770000000000005,0.7579,-0.7549,0.0258,0.09348420782608695,0.077,0.834,0.089,23,non-rumours
"Do you have questions about the #Germanwings crash? CNN experts answer #GermanwingsQs: http://t.co/eXKydn7mrd
https://t.co/DChp07sO0w",0.278,0.333,0.389,0.2976944444444445,0.7964,-0.6369,0.38775,0.06498921496913582,0.074,0.852,0.074,18,non-rumours
What we know so far about the #Germanwings crash: http://t.co/eV7PQABBTz http://t.co/Q7wY7GER82,0.200,0.267,0.533,0.44748666666666664,0.7964,-0.8957,0.5413,0.10475134915555558,0.102,0.729,0.169,15,non-rumours
#Germanwings Flight 9525 co-pilot crashed plane! My #Prayers go out to the families! http://t.co/9Ek6j6hnMS http://t.co/xj9awb6Trh,0.667,0.000,0.333,0.6003333333333334,0.636,-0.7062,0.636,0.010837182222222227,0.299,0.530,0.171,3,non-rumours
Co-pilot of Germanwings intentionally crashed the plane but he's white so he's not a terrorist.,0.125,0.208,0.667,0.4095041666666667,0.4019,-0.8481,0.42025,0.07550282623263889,0.077,0.721,0.202,24,non-rumours
"“There's no black box for the human being,” says @milesobrien of the #Germanwings crash http://t.co/rVGxkdbmkF",0.125,0.375,0.500,0.34642500000000004,0.3612,-0.8341,0.2064,0.12913206187499998,0.077,0.711,0.212,8,non-rumours
"With the #Germanwings tragedy, try to remember Captain Patrick Sonderheimer, who tried to kick down the door and save the plane.",0.500,0.000,0.500,0.41657500000000003,0.296,-0.7184,0.34895,0.033399811875000004,0.116,0.629,0.255,4,non-rumours
Germanwings could face enormous legal liabilities in the crash that killed 150 people http://t.co/3nV929P1uc,0.500,0.000,0.500,0.4598,0.1027,-0.8169,0.4598,0.12752040999999997,0.160,0.496,0.343,2,non-rumours
There were about 100 families… close enough to see the helicopters - @NicRobertsonCNN on #Germanwings memorial http://t.co/4rsPH7Ke3h,0.500,0.500,0.000,0.32985,0.6597,0.0,0.32985,0.10880102249999998,0.165,0.836,0.000,2,non-rumours
"#Germanwings crash: How did co-pilot keep the captain out of the cockpit? via @OutFrontCNN
http://t.co/MLAsT2KsuE http://t.co/YQkbk9NdqT",0.529,0.294,0.176,0.34537647058823534,0.5994,-0.7672,0.4215,0.06928588062283737,0.227,0.713,0.060,17,non-rumours
A tribute to the lives lost on #Germanwings Flight 9525 next on #AC360 http://t.co/zDHWF3pYN9,0.375,0.125,0.500,0.36653749999999996,0.7351,-0.5994,0.43015000000000003,0.05592863984375,0.130,0.671,0.199,8,non-rumours
"#Germanwings black box data released in 48 hrs but #MH17 data not released after 8 months Why?
http://t.co/ZaNa7mXvng http://t.co/U94WB4f8Uu",0.182,0.273,0.545,0.37509999999999993,0.4404,-0.9134,0.4404,0.09456568363636363,0.069,0.748,0.183,11,non-rumours
It could be better to have zero pilots in a cockpit instead of one: http://t.co/ig0Z2boPOn #Germanwings http://t.co/JbA8I3MuKk,0.571,0.429,0.000,0.2597,0.7096,0.0,0.2732,0.0651145742857143,0.188,0.799,0.013,7,non-rumours
Here's why the Germanwings crash scenario is less likely in the U.S. http://t.co/BTnZb7sEoT http://t.co/kY6SgGcDav,0.111,0.444,0.444,0.18788888888888888,0.3382,-0.5319,0.1779,0.036764218765432094,0.011,0.870,0.118,9,non-rumours
These are the cliffs #Germanwings rescuers are up against in #SeyneLesAlpes. A brand new hour of #AC360 begins now http://t.co/cvHAxyKUr9,0.308,0.462,0.231,0.3238307692307692,0.6697,-0.9022,0.3612,0.10249850982248522,0.156,0.767,0.077,13,non-rumours
"Two gut-wrenching pieces about the #Germanwings crash:

From the mind: http://t.co/ZkbPirdJJB

From the heart: http://t.co/t7FoLVDjnE",0.500,0.000,0.500,0.5685,0.7351,-0.4019,0.5685,0.02775556,0.277,0.436,0.287,2,non-rumours
JUST AHEAD: Could what happened with #Germanwings plane happen in the U.S.? Panel weighs in next on #KellyFile.,0.500,0.333,0.167,0.34702222222222223,0.7339,-0.9201,0.41964999999999997,0.08475578172839507,0.248,0.619,0.133,18,non-rumours
"A co-pilot deliberately crashed the Germanwings plane killing 150 people yet ""there was no indication that it is an act of terrorism""? Pftt!",0.000,0.000,1.000,0.4848,-0.4767,-0.4929,0.4848,6.560999999999994e-05,0.141,0.572,0.287,2,non-rumours
"To cap its liability, the airline has to prove it was without fault - Aviation Attorney Justin Green on #Germanwings http://t.co/l14sBZkwGA",0.214,0.357,0.429,0.28910714285714284,0.3612,-0.7968,0.23365,0.08123374780612246,0.062,0.800,0.138,14,non-rumours
#AP10Things to know for Fri.: Turmoil escalates in Yemen; How airlines are responding to Germanwings crash: http://t.co/FHFMJtSNpm,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
Relatives of those who died on board Germanwings Flight 9525 gathered near the crash site: http://t.co/YrdZjge5PU http://t.co/Q9S8fz2soj,0.333,0.286,0.381,0.3638809523809524,0.926,-0.8074,0.3786,0.09663431773242628,0.158,0.644,0.198,21,non-rumours
“The horror. It’s all there in the sound of Lubitz breathing.” @PGourevitch on the #Germanwings crash: http://t.co/Ek1hiZwR4P,0.077,0.462,0.462,0.3108923076923077,0.5719,-0.9147,0.296,0.10311813917159762,0.059,0.776,0.165,13,non-rumours
"Look, if Obama had cut taxes on the rich, then they'd all buy private jets and flight safety would just trickle down to #Germanwings",0.385,0.077,0.538,0.31640000000000007,0.5859,-0.7721,0.3182,0.036798650769230765,0.185,0.628,0.186,13,non-rumours
A look at the cockpit-security measures that prevented Germanwings pilot from reentering: http://t.co/vRv13M66Ez http://t.co/CXROfyWrBH,0.000,0.667,0.333,0.18036666666666668,0.0,-0.5411,0.0,0.0650642688888889,0.000,0.667,0.333,3,non-rumours
A tribute to the lives lost in #Germanwings crash set to music from #OlegBryjak &amp; #MariaRadner http://t.co/Uq0HXLcnSk http://t.co/LKWqgecgbX,0.400,0.200,0.400,0.51908,0.6486,-0.9325,0.6124,0.0959150696,0.128,0.737,0.134,5,non-rumours
Airlines begin requiring 2 crew members in cockpit at all times after #Germanwings crash: http://t.co/buO4yfkjx2,0.333,0.333,0.333,0.1819666666666667,0.4199,-0.126,0.126,0.030952135555555555,0.055,0.922,0.023,3,non-rumours
This video shows how the cockpit door of the crashed #Germanwings plane was designed to work http://t.co/iZtw2EHHNN http://t.co/n5U9cxvru9,0.714,0.143,0.143,0.3798714285714286,0.6697,-0.0516,0.5106,0.05685429632653062,0.275,0.597,0.128,7,non-rumours
Thoughts and prayers to the families and friends of the passengers of Germanwings Flight 9525. Beyond… https://t.co/f51rHVQ4Er,0.417,0.417,0.167,0.319625,0.8316,-0.4404,0.39185,0.08822688687500001,0.150,0.763,0.088,12,non-rumours
BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,0.143,0.429,0.429,0.2539142857142857,0.3612,-0.802,0.296,0.07303277551020407,0.079,0.733,0.188,7,rumours
142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,2,rumours
BREAKING: GermanWings A320 Crash in Southern France,0.000,0.000,1.000,0.6486,-0.6486,-0.6486,0.6486,0.0,0.000,0.719,0.281,1,rumours
BREAKING - A Germanwings Airbus A320 plane reportedly crashed in the region of Digne (French Alps) #Flightradar24 - French TV #itele,0.000,0.000,1.000,0.498,-0.498,-0.498,0.498,0.0,0.152,0.526,0.322,1,rumours
"Sad news, plane crashed in southern France http://t.co/2K5CklKRzZ #GermanWings",0.000,0.250,0.750,0.4042,0.0,-0.8402,0.3883,0.12237285999999997,0.111,0.625,0.264,4,rumours
"Airbus passenger plane crashed in French Alps said to belong to Lufthansa subsidiary Germanwings, flying Barcelone-Dusseldorf",0.000,0.000,1.000,0.6486,-0.6486,-0.6486,0.6486,0.0,0.000,0.719,0.281,1,rumours
"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",0.250,0.500,0.250,0.212725,0.2023,-0.6486,0.10115,0.07014988687499998,0.046,0.850,0.104,4,rumours
Several European news agencies reporting an accident involving a Germanwings Airbus A320 in southern France. Developing... #breaking,0.000,0.000,1.000,0.56265,-0.4767,-0.6486,0.56265,0.007387402499999995,0.000,0.789,0.211,2,rumours
Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI,0.296,0.370,0.333,0.31984444444444443,0.7271,-0.7906,0.34,0.08512307358024689,0.132,0.687,0.181,27,rumours
BREAKING #A320 crashed could be Germanwings flight #4U9525 from Barcelona to Dusseldorf. http://t.co/FJvY7woj4t,0.167,0.611,0.222,0.20571666666666666,0.6691,-0.6908,0.0,0.07151873472222221,0.070,0.823,0.107,18,rumours
BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV,0.000,0.429,0.571,0.3155571428571428,0.0,-0.8048,0.4019,0.0879408024489796,0.000,0.704,0.296,7,rumours
French police have confirmed that an #Airbus operated by -#Germanwings has crashed in Southern France,0.000,0.667,0.333,0.23026666666666665,0.0,-0.6908,0.0,0.10604547555555555,0.000,0.871,0.129,3,rumours
We get reports about an Germanwings A320 crash. Flight 4U9525 was lost from Flightradar24 at 6800 feet near Digne in southern France.,0.083,0.292,0.625,0.2820333333333334,0.4019,-0.8689,0.19515,0.0723899163888889,0.031,0.715,0.254,24,rumours
#BREAKING: There are reports that a Germanwings Airbus A320 has crashed in the French Alps. More to come. #9News http://t.co/PfEiviM9Po,0.333,0.667,0.000,0.15233333333333335,0.457,0.0,0.0,0.04641088888888889,0.090,0.864,0.046,3,rumours
A Germanwings A320 has crashed en route to Dusseldorf. Flight Radar 24 of the last known position. #4U9525 http://t.co/FrI93NrYFF,0.500,0.500,0.000,0.31845,0.6369,0.0,0.31845,0.10141040250000001,0.142,0.802,0.056,2,rumours
Germanwings flight #4U9525 (registration D-AIPX) was lost from Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/vZaQMUlLaZ,0.286,0.286,0.429,0.3296214285714286,0.7184,-0.7184,0.3071,0.06785711096938778,0.078,0.756,0.166,28,rumours
"#breaking Airbus A320 crashes in southern France with 148 people on board 
#Germanwings http://t.co/suRCtXRGsU",0.000,0.500,0.500,0.3243,0.0,-0.6486,0.3243,0.10517048999999999,0.000,0.859,0.141,4,rumours
BREAKING:148passengers were on board #GermanWings Airbus A320 which has crashed in D southern French Alps.May اللَّهُ protect them.AMEEN♥☀♥,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,2,rumours
"Flight #4U9525 is a flight from Barcelona to Dusseldorf.
STD 08:35
ATD 09:00
STA 10:55
Signal lost 09:41
http://t.co/FHoX6q0GHt",0.261,0.435,0.304,0.18732608695652175,0.7179,-0.3802,0.0772,0.04819522714555764,0.129,0.776,0.096,23,rumours
#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8,0.000,0.667,0.333,0.09106666666666667,0.0,-0.2732,0.0,0.016586275555555554,0.000,0.901,0.099,3,rumours
BREAKING: Germanwings Airbus A320 crashes in French Alps | via @BBCBreaking,0.167,0.333,0.500,0.31453333333333333,0.3955,-0.6901,0.37835,0.06058142555555557,0.058,0.748,0.195,6,rumours
"Last position of Germanwings flight #4U9525 at 09:40 UTC
http://t.co/FHoX6q0GHt http://t.co/72pxGKolRM",0.239,0.507,0.254,0.1985521126760563,0.6908,-0.765,0.0,0.061343300805395726,0.073,0.823,0.104,71,rumours
UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared  at 09:39 UTC from radar http://t.co/GRUjOCXkr9 http://t.co/HWrvDD24ac,0.136,0.455,0.409,0.3073772727272728,0.765,-0.8742,0.24914999999999998,0.10154240448347106,0.074,0.706,0.220,22,rumours
"Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525 http://t.co/TIZc1N1ZrK",0.250,0.250,0.500,0.32865,0.3612,-0.4767,0.41895000000000004,0.0382269825,0.050,0.722,0.228,4,rumours
"#BREAKING: A Germanwings A320 has crashed in France, German officials confirm to @NBCNews",0.107,0.607,0.286,0.1817892857142857,0.5938,-0.9338,0.0,0.07213617452806122,0.042,0.836,0.122,28,rumours
BREAKING NEWS #A320 crashed could be Germanwings flight #4U9525 from Barcelona to Dusseldorf. (140 passengers),0.429,0.143,0.429,0.2802857142857143,0.4404,-0.4588,0.3182,0.021890121224489793,0.296,0.407,0.297,7,rumours
BREAKING: Lufthansa's Germanwings plane crashes in southern France -- Report,0.000,0.000,1.000,0.6486,-0.6486,-0.6486,0.6486,0.0,0.000,0.719,0.281,1,rumours
A320 Germanwings from Barcelona to Dusseldorf has crashed in French Alps near Digne les Bains.,0.500,0.500,0.000,0.11615,0.2323,0.0,0.11615,0.013490822500000001,0.116,0.815,0.070,2,rumours
"Reports of a plane crash near the French Alps, a GermanWings A320 http://t.co/WDso9Euyhp http://t.co/mpNENahmaW",0.333,0.407,0.259,0.2867037037037037,0.8442,-0.7089,0.2732,0.07985096331961593,0.100,0.799,0.101,27,rumours
Terrible news... Airbus A320 from Barcelona to Dusseldorf has crashed in France (Germanwings Flight 9525). http://t.co/C3zpWZ5bIF,0.200,0.600,0.200,0.16612,0.2732,-0.5574,0.0,0.04947074560000001,0.118,0.803,0.079,5,rumours
